Current learning rate: 0.001
Epoch: [2][240/383]	Loss 1.3996 (1.4976)	Accuracy 44.531 (43.277)
Epoch: [2][250/383]	Loss 1.5349 (1.4944)	Accuracy 44.531 (43.454)
Epoch: [2][260/383]	Loss 1.3663 (1.4910)	Accuracy 46.094 (43.597)
Epoch: [2][270/383]	Loss 1.3097 (1.4897)	Accuracy 56.250 (43.678)
Epoch: [2][280/383]	Loss 1.4198 (1.4888)	Accuracy 42.188 (43.692)
Epoch: [2][290/383]	Loss 1.3745 (1.4867)	Accuracy 46.094 (43.785)
Epoch: [2][300/383]	Loss 1.3825 (1.4859)	Accuracy 53.906 (43.838)
Epoch: [2][310/383]	Loss 1.5329 (1.4842)	Accuracy 41.406 (43.933)
Epoch: [2][320/383]	Loss 1.4317 (1.4824)	Accuracy 48.438 (44.037)
Epoch: [2][330/383]	Loss 1.5850 (1.4807)	Accuracy 42.969 (44.085)
Epoch: [2][340/383]	Loss 1.5645 (1.4784)	Accuracy 43.750 (44.183)
Epoch: [2][350/383]	Loss 1.3248 (1.4758)	Accuracy 53.125 (44.338)
Epoch: [2][360/383]	Loss 1.2485 (1.4729)	Accuracy 53.125 (44.481)
Epoch: [2][370/383]	Loss 1.4576 (1.4722)	Accuracy 50.000 (44.525)
Epoch: [2][380/383]	Loss 1.3906 (1.4707)	Accuracy 50.781 (44.572)
Test: [  0/164]	Loss 1.9028 (1.9028)	Accuracy 13.281 (13.281)
Test: [ 10/164]	Loss 1.4573 (1.6673)	Accuracy 41.406 (26.065)
Test: [ 20/164]	Loss 2.2531 (1.7864)	Accuracy  7.031 (22.135)
Test: [ 30/164]	Loss 2.3303 (1.8961)	Accuracy  3.906 (18.599)
Test: [ 40/164]	Loss 2.1787 (1.9637)	Accuracy 17.188 (18.350)
Test: [ 50/164]	Loss 1.5423 (1.9695)	Accuracy 50.000 (20.818)
Test: [ 60/164]	Loss 1.1896 (1.8646)	Accuracy 57.812 (26.306)
Test: [ 70/164]	Loss 0.8414 (1.7471)	Accuracy 73.438 (32.141)
Test: [ 80/164]	Loss 1.4488 (1.6762)	Accuracy 41.406 (35.050)
Test: [ 90/164]	Loss 2.1791 (1.6869)	Accuracy 17.969 (34.813)
Test: [100/164]	Loss 0.2061 (1.6073)	Accuracy 95.312 (38.467)
Test: [110/164]	Loss 0.4254 (1.5035)	Accuracy 90.625 (42.983)
Test: [120/164]	Loss 1.7636 (1.4478)	Accuracy 43.750 (45.493)
